2024-08-18 20:31:45,810 - data_preparation - INFO - Total number of files: 12126
2024-08-18 20:31:45,810 - data_preparation - INFO - Using subset of 121 files
2024-08-18 20:31:45,811 - data_preparation - INFO - Training set size: 96
2024-08-18 20:31:45,811 - data_preparation - INFO - Validation set size: 25
2024-08-18 20:31:46,757 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,757 - data_preparation - DEBUG - Clean phase range: [-3.1404, 3.1416]
2024-08-18 20:31:46,757 - data_preparation - DEBUG - Noisy phase range: [-3.1391, 3.1416]
2024-08-18 20:31:46,819 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,819 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,820 - data_preparation - DEBUG - Clean phase range: [-3.1389, 3.1416]
2024-08-18 20:31:46,820 - data_preparation - DEBUG - Noisy phase range: [-3.1393, 3.1416]
2024-08-18 20:31:46,822 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,822 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,822 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,822 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,822 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,822 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,822 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,822 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,822 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,822 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,822 - data_preparation - DEBUG - Clean phase range: [-3.1399, 3.1416]
